Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
287, When You Wish Upon a Star: A Twisted Tale, Elizabeth Lim, 4.23 avg rating - 326 ratings, 11, 1, https://www.goodreads.com/book/show/63923454-when-you-wish-upon-a-star, https://www.goodreads.com/author/show/6926374.Elizabeth_Lim, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670162575i/63923454.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670162575i/63923454._SX50_.jpg
288, Lady of Dreams, W.R. Gingell, 4.32 avg rating - 282 ratings, 11, 1, https://www.goodreads.com/book/show/34105149-lady-of-dreams, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1486082592i/34105149.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486082592i/34105149._SY75_.jpg
289, Reflection (A Twisted Tale #4), Elizabeth Lim, 4.01 avg rating - 15.197 ratings, 10, 1, https://www.goodreads.com/book/show/56305394-reflection, https://www.goodreads.com/author/show/6926374.Elizabeth_Lim, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608082997i/56305394.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608082997i/56305394._SX50_.jpg
290, Lady of Weeds (Lady #2), W.R. Gingell, 4.27 avg rating - 161 ratings, 10, 1, https://www.goodreads.com/book/show/50893419-lady-of-weeds, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564894033l/50893419SY75_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564894033l/50893419._SX50_SY75_.jpg
291, Wilting Captive: A Retelling of Beauty and the Beast (The Ruby Realm Book 2), Abigail Manning, 4.30 avg rating - 61 ratings, 9, 2, https://www.goodreads.com/book/show/63241830-wilting-captive, https://www.goodreads.com/author/show/21982455.Abigail_Manning, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667795727i/63241830.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667795727i/63241830._SX50_.jpg
292, Conceal Don't Feel: A Twisted Tale, Jen Calonita, 3.81 avg rating - 14.497 ratings, 9, 1, https://www.goodreads.com/book/show/49192414-conceal-don-t-feel, https://www.goodreads.com/author/show/114528.Jen_Calonita, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148.png, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/nophoto/book/111x148._SX50_.png
293, Cinderella Must Die, W.R. Gingell, 4.37 avg rating - 228 ratings, 9, 1, https://www.goodreads.com/book/show/60031616-cinderella-must-die, https://www.goodreads.com/author/show/7849833.W_R_Gingell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1641328341i/60031616.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1641328341i/60031616._SY75_.jpg
294, Mirror Mirror (A Twisted Tale #6), Jen Calonita, 3.79 avg rating - 8.364 ratings, 8, 1, https://www.goodreads.com/book/show/56305481-mirror-mirror, https://www.goodreads.com/author/show/114528.Jen_Calonita, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608083942i/56305481.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608083942i/56305481._SX50_.jpg
295, Carabosse and the Spindle Spell (A Villain's Ever After #12), Sylvia Mercedes, 4.24 avg rating - 382 ratings, 8, 1, https://www.goodreads.com/book/show/58542304-carabosse-and-the-spindle-spell, https://www.goodreads.com/author/show/19038773.Sylvia_Mercedes, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626094604i/58542304.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626094604i/58542304._SY75_.jpg
296, Bluebeard and the Outlaw (A Villain's Ever After #3), Tara Grayce, 4.08 avg rating - 892 ratings, 8, 2, https://www.goodreads.com/book/show/58187122-bluebeard-and-the-outlaw, https://www.goodreads.com/author/show/19616128.Tara_Grayce, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625645615i/58187122.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1625645615i/58187122._SY75_.jpg
