Index, Title, Author, Rating, Score, Vote, Link, Author_Link, Image, Image_Small 
33, Golden Son (Red Rising Saga #2), Pierce Brown, 4.44 avg rating - 202.139 ratings, 877, 9, https://www.goodreads.com/book/show/18966819-golden-son, https://www.goodreads.com/author/show/6474348.Pierce_Brown, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819._SY75_.jpg
34, The Burning Room (Harry Bosch #17; Harry Bosch Universe #26), Michael Connelly, 4.12 avg rating - 56.014 ratings, 783, 8, https://www.goodreads.com/book/show/20881071-the-burning-room, https://www.goodreads.com/author/show/12470.Michael_Connelly, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392997140i/20881071._SY75_.jpg
35, Finders Keepers (Bill Hodges Trilogy #2), Stephen King, 4.06 avg rating - 136.214 ratings, 782, 8, https://www.goodreads.com/book/show/22453035-finders-keepers, https://www.goodreads.com/author/show/3389.Stephen_King, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468705421i/22453035._SY75_.jpg
36, Fangirl, Rainbow Rowell, 3.97 avg rating - 716.955 ratings, 778, 8, https://www.goodreads.com/book/show/16068905-fangirl, https://www.goodreads.com/author/show/4208569.Rainbow_Rowell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1355886270i/16068905jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355886270i/16068905._SX50_.jpg
37, First Frost (Waverley Family #2), Sarah Addison Allen, 3.97 avg rating - 34.879 ratings, 684, 7, https://www.goodreads.com/book/show/21853633-first-frost, https://www.goodreads.com/author/show/566874.Sarah_Addison_Allen, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410962794i/21853633jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410962794i/21853633._SX50_.jpg
38, World After (Penryn & the End of Days #2), Susan Ee, 4.15 avg rating - 101.117 ratings, 666, 7, https://www.goodreads.com/book/show/17849112-world-after, https://www.goodreads.com/author/show/4890182.Susan_Ee, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1423238855i/17849112jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423238855i/17849112._SX50_.jpg
39, Hush Hush (Hush Hush #1), Becca Fitzpatrick, 3.93 avg rating - 677.456 ratings, 665, 7, https://www.goodreads.com/book/show/6339664-hush-hush, https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg
40, The Bone Clocks, David Mitchell, 3.84 avg rating - 92.665 ratings, 659, 7, https://www.goodreads.com/book/show/20819685-the-bone-clocks, https://www.goodreads.com/author/show/6538289.David_Mitchell, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398205538i/20819685jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398205538i/20819685._SX50_.jpg
41, Dead Heat (Alpha & Omega #4), Patricia Briggs, 4.31 avg rating - 36.897 ratings, 593, 6, https://www.goodreads.com/book/show/22571699-dead-heat, https://www.goodreads.com/author/show/40563.Patricia_Briggs, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406232150i/22571699.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406232150i/22571699._SY75_.jpg
42, All the Single Ladies (Lowcountry Tales #10), Dorothea Benton Frank, 3.63 avg rating - 10.464 ratings, 592, 6, https://www.goodreads.com/book/show/23215447-all-the-single-ladies, https://www.goodreads.com/author/show/36935.Dorothea_Benton_Frank, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432527020i/23215447.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432527020i/23215447._SY75_.jpg
43, Red Queen (Red Queen #1), Victoria Aveyard, 4.02 avg rating - 900.077 ratings, 575, 6, https://www.goodreads.com/book/show/17878931-red-queen, https://www.goodreads.com/author/show/7074943.Victoria_Aveyard, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411472322i/17878931.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411472322i/17878931._SY75_.jpg
44, Fallen (Fallen #1), Lauren Kate, 3.72 avg rating - 565.381 ratings, 572, 6, https://www.goodreads.com/book/show/6487308-fallen, https://www.goodreads.com/author/show/2905297.Lauren_Kate, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308._SY75_.jpg
45, Defending Jacob, William Landay, 3.99 avg rating - 289.568 ratings, 571, 6, https://www.goodreads.com/book/show/11367726-defending-jacob, https://www.goodreads.com/author/show/218843.William_Landay, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329612158i/11367726.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329612158i/11367726._SY75_.jpg
46, In the Unlikely Event, Judy Blume, 3.55 avg rating - 65.668 ratings, 566, 6, https://www.goodreads.com/book/show/23899174-in-the-unlikely-event, https://www.goodreads.com/author/show/12942.Judy_Blume, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421711380i/23899174jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421711380i/23899174._SX50_.jpg
47, Obsession in Death (In Death #40), J.D. Robb, 4.36 avg rating - 23.090 ratings, 496, 5, https://www.goodreads.com/book/show/22571696-obsession-in-death, https://www.goodreads.com/author/show/17065.J_D_Robb, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406509523i/22571696.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406509523i/22571696._SY75_.jpg
