id, name, link, image, born, web, bio 
88, Stephen King, https://www.goodreads.com/author/show/3389.Stephen_King, https://images.gr-assets.com/authors/1362814142p5/3389.jpg, Portland* Maine* The United States, http://www.stephenking.com, Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two* he and his older brother* David* were raised by his mother. Parts of his childhood were spent in Fort Wayne* Indiana* where his father's family was at the time* and in Stratford* Connecticut. When Stephen was eleven* his mother brought her children back to Durham* Maine* for good. Her parents* Guy and Nellie Pillsbury* had become incapacitated with old age* and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away* Mrs. King found work in the kitchens of Pineland* a ne
89, Lewis Carroll, https://www.goodreads.com/author/show/8164.Lewis_Carroll, https://images.gr-assets.com/authors/1571554989p5/8164.jpg, Daresbury* Cheshire* England,," The Reverend Charles Lutwidge Dodgson* better known by the pen name Lewis Carroll* was an English author* mathematician* logician* Anglican clergyman and photographer.His most famous writings are Alice's Adventures in Wonderland and its sequel Through the Looking-Glass as well as the poems ""The Hunting of the Snark"" and ""Jabberwocky""* all considered to be within the genre of literary nonsense.Oxford scholar* Church of England Deacon* University Lecturer in Mathematics and Logic* academic author of learned theses* gifted pioneer of portrait photography* colourful writer of imaginative genius and yet a shy and pedantic man* Lewis Carroll stands pre-eminent in the pantheon of inventive literary geniuses.He also has works published under his re"
90, Jimi Hendrix, https://www.goodreads.com/author/show/7268.Jimi_Hendrix, https://images.gr-assets.com/authors/1207679011p5/7268.jpg, Seattle* Washington* The United States, http://www.jimihendrix.com/index.php, Jimi Hendrix was an American guitarist* singer and songwriter. Hendrix is considered one of the greatest and most influential guitarists in rock music history. After initial success in Europe* he achieved fame in the USA following his 1967 performance at the Monterey Pop Festival. Later* Hendrix headlined the iconic 1969 Woodstock Festival.Hendrix helped develop the technique of guitar feedback with overdriven amplifiers. He was influenced by blues artists such as B.B. King* Muddy Waters* Albert King* and Elmore James* rhythm and blues and soul guitarists Curtis Mayfield* Steve Cropper* as well as by some modern jazz.Carlos Santana has suggested that Hendrix's music may have been influenced by his Native American heritage. As a record produ
91, Madeleine L'Engle, https://www.goodreads.com/author/show/106.Madeleine_L_Engle, https://images.gr-assets.com/authors/1305256804p5/106.jpg, New York City* New York* The United States, http://www.madeleinelengle.com/," Madeleine L'Engle was an American writer best known for her young adult fiction* particularly the Newbery Medal-winning A Wrinkle in Time and its sequels A Wind in the Door* A Swiftly Tilting Planet* and Many Waters. Her works reflect her strong interest in modern science: tesseracts* for example* are featured prominently in A Wrinkle in Time* mitochondrial DNA in A Wind in the Door* organ regeneration in The Arm of the Starfish* and so forth.""Madeleine was born on November 29th* 1918* and spent her formative years in New York City. Instead of her school work* she found that she would much rather be writing stories* poems and journals for herself* which was reflected in her grades (not the best). However* she was not discouraged.At age 12* "
92, Khaled Hosseini, https://www.goodreads.com/author/show/569.Khaled_Hosseini, https://images.gr-assets.com/authors/1359753468p5/569.jpg, Kabul* Afghanistan, http://www.khaledhosseini.com/, Hosseini was born in Kabul* Afghanistan* in 1965. In 1970 Hosseini and his family moved to Iran where his father worked for the Embassy of Afghanistan in Tehran. In 1973 Hosseini's family returned to Kabul* and Hosseini's youngest brother was born in July of that year.In 1976* when Hosseini was 11 years old* Hosseini's father obtained a job in Paris* France* and moved the family there. They were unable to return to Afghanistan because of the Saur Revolution in which the PDPA communist party seized power through a bloody coup in April 1978. Instead* a year after the Soviet invasion of Afghanistan* in 1980 they sought political asylum in the United States and made their residence in San Jose* California.Hosseini graduated from Independence Hi
93, Veronica Roth, https://www.goodreads.com/author/show/4039811.Veronica_Roth, https://images.gr-assets.com/authors/1588707274p5/4039811.jpg, The United States, http://veronicarothbooks.com, Veronica Roth is the New York Times best-selling author of Poster Girl* Chosen Ones* the short story collection The End and Other Beginnings* the Divergent series* and the Carve the Mark duology. She is also the guest editor of The Best American Science Fiction and Fantasy 2021. Her new novella* Arch-Conspirator* will be released in February. Veronica lives in Chicago* Illinois.Sign up for Veronica's newsletter to hear news* writing thoughts* book recommendations* etc.! 
94, Ayn Rand, https://www.goodreads.com/author/show/432.Ayn_Rand, https://images.gr-assets.com/authors/1168729178p5/432.jpg, Saint Petersburg* Russian empire, http://www.aynrand.org, Polemical novels* such as The Fountainhead (1943)* of primarily known Russian-born American writer Ayn Rand* originally Alisa Rosenbaum* espouse the doctrines of objectivism and political libertarianism. Alisa Rosenbaum entered into a prosperous Jewish family before Russian revolution. When the Bolsheviks requisitioned the pharmacy that Fronz Rosenbaum* her father* owned* the family fled to the Crimea. Alisa returned to the city* renamed Leningrad* to attend the university* but relatives already settled in America and in 1926 offered her the chance of joining them. With money from the sale of jewelry of her mother* Alisa bought a ticket to New York. On arrival at Ellis Island* she changed into Ayn (after a name of some Finnish author* p
95, Aristotle, https://www.goodreads.com/author/show/2192.Aristotle, https://images.gr-assets.com/authors/1651532053p5/2192.jpg, Stageira* Greece,, Aristotle (384–322 B.C.) numbers among the greatest philosophers of all time. Judged solely in terms of his philosophical influence* only Plato is his peer: Aristotle's works shaped centuries of philosophy from Late Antiquity through the Renaissance* and even today continue to be studied with keen* non-antiquarian interest. A prodigious researcher and writer* Aristotle left a great body of work* perhaps numbering as many as two-hundred treatises* from which approximately thirty-one survive. His extant writings span a wide range of disciplines* from logic* metaphysics and philosophy of mind* through ethics* political theory* aesthetics and rhetoric* and into such primarily non-philosophical fields as empirical biology* where he excelled at d
96, Alfred Lord Tennyson, https://www.goodreads.com/author/show/13638502.Alfred_Tennyson, https://images.gr-assets.com/authors/1454788521p5/13638502.jpg, Somersby* Lincolnshire* England,, Alfred Tennyson* invariably known as Alfred Lord Tennyson on all his books* was born in Somersby* Lincolnshire* the fourth of the twelve children of George Tennyson* clergyman* and his wife* Elizabeth. In 1816 Tennyson was sent to Louth Grammar School* which he disliked so intensely that from 1820 he was educated at home until at the age of 18 he joined his two brothers at Trinity College* Cambridge and with his brother Charles published his first book* Poems by Two Brothers the same year. His second book* Poems Chiefly Lyrical was published in 1830. In 1833* Tennyson's best friend Arthur Henry Hallam* who was engaged to his sister* died* inspiring some of his best work including In Memoriam* Ulysses and the Passing of Arthur.In 1850* follo
97, Chuck Palahniuk, https://www.goodreads.com/author/show/2546.Chuck_Palahniuk, https://images.gr-assets.com/authors/1391203076p5/2546.jpg, Pasco* WA* The United States, http://www.chuckpalahniuk.net/, Written in stolen moments under truck chassis and on park benches to a soundtrack of The Downward Spiral and Pablo Honey* Fight Club came into existence. The adaptation of Fight Club was a flop at the box office* but achieved cult status on DVD. The film’s popularity drove sales of the novel. Chuck put out two novels in 1999* Survivor and Invisible Monsters. Choke* published in 2001* became Chuck’s first New York Times bestseller. Chuck’s work has always been infused with personal experience* and his next novel* Lullaby* was no exception. Chuck credits writing Lullaby with helping him cope with the tragic death of his father. Diary and the non-fiction guide to Portland* Fugitives and Refugees* were released in 2003. While on the road in sup
98, Charles J. Sykes, https://www.goodreads.com/author/show/1962.Charles_J_Sykes, https://images.gr-assets.com/authors/1306363644p5/1962.jpg, Seattle,, null
99, George Orwell, https://www.goodreads.com/author/show/3706.George_Orwell, https://images.gr-assets.com/authors/1588856560p5/3706.jpg, Motihari* Bihar* India, http://www.george-orwell.org/, Eric Arthur Blair* better known by his pen name George Orwell* was an English author and journalist. His work is marked by keen intelligence and wit* a profound awareness of social injustice* an intense opposition to totalitarianism* a passion for clarity in language* and a belief in democratic socialism.In addition to his literary career Orwell served as a police officer with the Indian Imperial Police in Burma from 1922-1927 and fought with the Republicans in the Spanish Civil War from 1936-1937. Orwell was severely wounded when he was shot through his throat. Later the organization that he had joined when he joined the Republican cause* The Workers Party of Marxist Unification (POUM)* was painted by the pro-Soviet Communists as a Trotsky
100, Socrates, https://www.goodreads.com/author/show/275648.Socrates, https://images.gr-assets.com/authors/1390145726p5/275648.jpg, Athens* Greece,, The philosopher Socrates remains* as he was in his lifetime (469–399 B.C.E.)* an enigma* an inscrutable individual who* despite having written nothing* is considered one of the handful of philosophers who forever changed how philosophy itself was to be conceived. All our information about him is second-hand and most of it vigorously disputed* but his trial and death at the hands of the Athenian democracy is nevertheless the founding myth of the academic discipline of philosophy* and his influence has been felt far beyond philosophy itself* and in every age. Because his life is widely considered paradigmatic for the philosophic life and* more generally* for how anyone ought to live* Socrates has been encumbered with the admiration and emulat
101, Nicolas Chamfort, https://www.goodreads.com/author/show/308646.Nicolas_Chamfort, https://images.gr-assets.com/authors/1420504765p5/308646.jpg, Clermont-Ferrand* Auvergne* France,, Sébastien-Roch Nicolas* also known as Chamfort was a French writer* best known for his witty epigrams and aphorisms. He was secretary to Louis XVI's sister* and of the Jacobin club.
102, Edgar Allan Poe, https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe, https://images.gr-assets.com/authors/1454522972p5/4624490.jpg, Boston* Massachusetts* The United States, http://www.poemuseum.org, The name Poe brings to mind images of murderers and madmen* premature burials* and mysterious women who return from the dead. His works have been in print since 1827 and include such literary classics as The Tell-Tale Heart* The Raven* and The Fall of the House of Usher. This versatile writer’s oeuvre includes short stories* poetry* a novel* a textbook* a book of scientific theory* and hundreds of essays and book reviews. He is widely acknowledged as the inventor of the modern detective story and an innovator in the science fiction genre* but he made his living as America’s first great literary critic and theoretician. Poe’s reputation today rests primarily on his tales of terror as well as on his haunting lyric poetry.Just as the bizarre c
103, Henri Nouwen, https://www.goodreads.com/author/show/4837.Henri_J_M_Nouwen, https://images.gr-assets.com/authors/1198543648p5/4837.jpg, Nijkerk* Netherlands, http://www.HenriNouwen.org, Henri Jozef Machiel Nouwen (Nouen)* (1932–1996) was a Dutch-born Catholic priest and writer who authored 40 books on the spiritual life.Nouwen's books are widely read today by Protestants and Catholics alike. The Wounded Healer* In the Name of Jesus* Clowning in Rome* The Life of the Beloved* and The Way of the Heart are just a few of the more widely recognized titles. After nearly two decades of teaching at the Menninger Foundation Clinic in Topeka* Kansas* and at the University of Notre Dame* Yale University and Harvard University* he went to share his life with mentally handicapped people at the L'Arche community of Daybreak in Toronto* Canada. After a long period of declining energy* which he chronicled in his final book* Sabbatical Jou
104, Frank Herbert, https://www.goodreads.com/author/show/58.Frank_Herbert, https://images.gr-assets.com/authors/1591018335p5/58.jpg, Tacoma* Washington* The United States, http://www.dunenovels.com/, People note Dune (1965) of American science fiction novelist Frank Patrick Herbert for its intricate plot and its broad intellectual scope. Frank Herbert authored five critically acclaimed and commercially successful sequels to this best-known work. Widely considered among the classics in the field of science fiction* the Dune saga* set in the distant future and taking place over millennia* dealt with themes* such as human survival* human evolution* ecology* and the intersection of religion* politics* and power.He was the father of fellow author Brian Herbert. 
105, Charles W. Eliot, https://www.goodreads.com/author/show/4398096.Charles_William_Eliot, https://images.gr-assets.com/authors/1312422304p5/4398096.jpg, Boston* Massachusetts* The United States,, Charles William Eliot was an American academic who was selected as Harvard's president in 1869. He transformed the provincial college into the preeminent American research university. Eliot served the longest term as president in the university's history.
106, Markus Herz, https://www.goodreads.com/author/show/5249608.Markus_Herz, https://images.gr-assets.com/authors/1424985471p5/5249608.jpg, Germany,, Markus Herz (also Marcus Herz)* was a German physician and lecturer on philosophy.
107, Victor hugo, https://www.goodreads.com/author/show/13661.Victor_Hugo, https://images.gr-assets.com/authors/1415946858p5/13661.jpg, Besançon* Doubs* France,, After Napoleon III seized power in 1851* French writer Victor Marie Hugo went into exile and in 1870 returned to France- his novels include The Hunchback of Notre Dame (1831) and Les Misérables (1862). This poet* playwright* novelist* dramatist* essayist* visual artist* statesman* and perhaps the most influential* important exponent of the Romantic movement in France* campaigned for human rights. People in France regard him as one of greatest poets of that country and know him better abroad. 
108, Isaac Asimov, https://www.goodreads.com/author/show/16667.Isaac_Asimov, https://images.gr-assets.com/authors/1341965730p5/16667.jpg, Petrovichi* Russian Federation, http://www.asimovonline.com/," Isaac Asimov was a Russian-born* American author* a professor of biochemistry* and a highly successful writer* best known for his works of science fiction and for his popular science books.Professor Asimov is generally considered one of the most prolific writers of all time* having written or edited more than 500 books and an estimated 90*000 letters and postcards. He has works published in nine of the ten major categories of the Dewey Decimal System (lacking only an entry in the 100s category of Philosophy).Asimov is widely considered a master of the science-fiction genre and* along with Robert A. Heinlein and Arthur C. Clarke* was considered one of the ""Big Three"" science-fiction writers during his lifetime. Asimov's most famous work is t"
109, Charlotte Brontë, https://www.goodreads.com/author/show/1036615.Charlotte_Bront_, https://images.gr-assets.com/authors/1335001351p5/1036615.jpg, Thornton* Yorkshire* England,," Charlotte Brontë was an English novelist* the eldest out of the three famous Brontë sisters whose novels have become standards of English literature. See also Emily Brontë and Anne Brontë.Charlotte Brontë was born in Thornton* Yorkshire* England* the third of six children* to Patrick Brontë (formerly ""Patrick Brunty"")* an Irish Anglican clergyman* and his wife* Maria Branwell. In April 1820 the family moved a few miles to Haworth* a remote town on the Yorkshire moors* where Patrick had been appointed Perpetual Curate. This is where the Brontë children would spend most of their lives. Maria Branwell Brontë died from what was thought to be cancer on 15 September 1821* leaving five daughters and a son to the care of her spinster sister Elizabe"
110, William Styron, https://www.goodreads.com/author/show/7565.William_Styron, https://images.gr-assets.com/authors/1490146642p5/7565.jpg, Newport News* Virginia* The United States,, William Styron (1925–2006)* born in Newport News* Virginia* was one of the greatest American writers of his generation. Styron published his first book* Lie Down in Darkness* at age twenty-six and went on to write such influential works as the controversial and Pulitzer Prize–winning The Confessions of Nat Turner and the international bestseller Sophie’s Choice.
111, Anne Frank, https://www.goodreads.com/author/show/3720.Anne_Frank, https://images.gr-assets.com/authors/1343271406p5/3720.jpg, Frankfurt am Main* Germany, http://www.annefrank.org/," Librarian Note: There is more than one author in the Goodreads database with this name. See this thread for more information.  Annelies Marie ""Anne"" Frank was a Jewish girl born in the city of Frankfurt* Germany. Her father moved to the Netherlands in 1933 and the rest of the family followed later. Anne was the last of the family to come to the Netherlands* in February 1934. She wrote a diary while in hiding with her family and four friends in Amsterdam during the German occupation of the Netherlands in World War II.She lived in Amsterdam with her parents and sister. During the Holocaust* Anne and her family hid in the attic of her father's office to escape the Nazis. It was during that time period that she had recorded her life in her diar"
112, Lemony Snicket, https://www.goodreads.com/author/show/36746.Lemony_Snicket, https://images.gr-assets.com/authors/1199734355p5/36746.jpg, San Francisco* The United States,, Lemony Snicket had an unusual education and a perplexing youth and now endures a despondent adulthood. His previous published works include the thirteen volumes in A Series of Unfortunate Events* The Composer is Dead* and 13 Words. His new series is All The Wrong Questions.For A Series of Unfortunate Events:www.lemonysnicket.comFor All The Wrong Questions:www.lemonysnicketlibrary.com
113, C.E.M. Joad, https://www.goodreads.com/author/show/5991490.C_E_M_Joad, https://images.gr-assets.com/authors/1345505812p5/5991490.jpg, Durham* The United Kingdom, http://en.wikipedia.org/wiki/C._E._M._Joad, Cyril Edwin Mitchinson Joad (August 12* 1891 – April 9* 1953) was an English philosopher and broadcasting personality. He is most famous for his appearance on The Brains Trust* an extremely popular BBC Radio wartime discussion programme. He managed to popularise Philosophy and became a celebrity* before his downfall in the Train Ticket Scandal of 1948.
114, Rick Riordan, https://www.goodreads.com/author/show/15872.Rick_Riordan, https://images.gr-assets.com/authors/1679846356p5/15872.jpg, San Antonio* Texas* The United States, http://www.rickriordan.com/, Rick Riordan is the #1 New York Times bestselling author of many books* including the Percy Jackson series. You can follow him on  Twitter and via his official website. 
115, Lisa Kleypas, https://www.goodreads.com/author/show/27847.Lisa_Kleypas, https://images.gr-assets.com/authors/1288899037p5/27847.jpg, Texas* The United States, http://www.lisakleypas.com/, LISA KLEYPAS is the RITA award-winning author of 21 novels. Her books are published in fourteen languages and are bestsellers all over the world. She lives in Washington State with her husband and two children. 
116, Rita Mae Brown, https://www.goodreads.com/author/show/23511.Rita_Mae_Brown, https://images.gr-assets.com/authors/1209493600p5/23511.jpg, Hanover* Pennsylvania* The United States, http://www.ritamaebrownbooks.com/, Rita Mae Brown is a prolific American writer* most known for her mysteries and other novels (Rubyfruit Jungle). She is also an Emmy-nominated screenwriter.Brown was born illegitimate in Hanover* Pennsylvania. She was raised by her biological mother's female cousin and the cousin's husband in York* Pennsylvania and later in Ft. Lauderdale* Florida.Starting in the fall of 1962* Brown attended the University of Florida at Gainesville on a scholarship. In the spring of 1964* the administrators of the racially segregated university expelled her for participating in the civil rights movement. She subsequently enrolled at Broward Community College[3] with the hope of transferring eventually to a more tolerant four-year institution.Between fall 196
117, Laurel Thatcher Ulrich, https://www.goodreads.com/author/show/9639.Laurel_Thatcher_Ulrich, https://images.gr-assets.com/authors/1225603389p5/9639.jpg, Sugar City* Idaho* The United States,, Laurel Thatcher Ulrich is 300th Anniversary University Professor at Harvard University. She is the author of Good Wives: Image and Reality in the Lives of Women in Early New England* 1650-1750 (1982) and A Midwife's Tale: The Life of Martha Ballard Based on Her Diary* 1785-1812 (1990) which won the Pulitzer Prize for History in 1991 and became the basis of a PBS documentary. In The Age of Homespun: Objects and Stories in the Making of an American Myth (2001)* she has incorporated museum-based research as well as more traditional archival work. Her most recent book is Well-behaved Women Seldom Make History (2007). Her major fields of interest are early American social history* women's history* and material culture. Professor Ulrich's work is
118, Joseph Conrad, https://www.goodreads.com/author/show/3345.Joseph_Conrad, https://images.gr-assets.com/authors/1403814208p5/3345.jpg, Berdichev (formerly Poland)* Ukraine,, Joseph Conrad (born Józef Teodor Konrad Korzeniowski) was a Polish-born English novelist who today is most famous for Heart of Darkness* his fictionalized account of Colonial Africa.Conrad left his native Poland in his middle teens to avoid conscription into the Russian Army. He joined the French Merchant Marine and briefly employed himself as a wartime gunrunner. He then began to work aboard British ships* learning English from his shipmates. He was made a Master Mariner* and served more than sixteen years before an event inspired him to try his hand at writing.He was hired to take a steamship into Africa* and according to Conrad* the experience of seeing firsthand the horrors of colonial rule left him a changed man. Joseph Conrad sett
119, F. Scott Fitzgerald, https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald, https://images.gr-assets.com/authors/1517864008p5/3190.jpg, St. Paul* Minnesota* The United States,," Francis Scott Key Fitzgerald was an American writer of novels and short stories* whose works have been seen as evocative of the Jazz Age* a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation*"" Americans born in the 1890s who came of age during World War I. He finished four novels* left a fifth unfinished* and wrote dozens of short stories that treat themes of youth* despair* and age. He was married to Zelda Fitzgerald."
120, Leo Tolstoy, https://www.goodreads.com/author/show/128382.Leo_Tolstoy, https://images.gr-assets.com/authors/1651443031p5/128382.jpg, Yasnaya Polyana* Tula* Russian Empire,, Lev Nikolayevich Tolstoy (Russian: Лев Николаевич Толстой- most appropriately used Liev Tolstoy- commonly Leo Tolstoy in Anglophone countries) was a Russian writer who primarily wrote novels and short stories. Later in life* he also wrote plays and essays. His two most famous works* the novels War and Peace and Anna Karenina* are acknowledged as two of the greatest novels of all time and a pinnacle of realist fiction. Many consider Tolstoy to have been one of the world's greatest novelists. Tolstoy is equally known for his complicated and paradoxical persona and for his extreme moralistic and ascetic views* which he adopted after a moral crisis and spiritual awakening in the 1870s* after which he also became noted as a moral thinker and soc
121, Roald Dahl, https://www.goodreads.com/author/show/4273.Roald_Dahl, https://images.gr-assets.com/authors/1311554908p5/4273.jpg, Llandaff* Cardiff* Wales* The United Kingdom, http://www.roalddahl.com, Roald Dahl was a British novelist* short story writer and screenwriter of Norwegian descent* who rose to prominence in the 1940's with works for both children and adults* and became one of the world's bestselling authors.Dahl's first published work* inspired by a meeting with C. S. Forester* was Shot Down Over Libya. Today the story is published as A Piece of Cake. The story* about his wartime adventures* was bought by the Saturday Evening Post for $900* and propelled him into a career as a writer. Its title was inspired by a highly inaccurate and sensationalized article about the crash that blinded him* which claimed he had been shot down instead of simply having to land because of low fuel.His first children's book was The Gremlins* about
122, Henry Wadsworth Longfellow, https://www.goodreads.com/author/show/2697.Henry_Wadsworth_Longfellow, https://images.gr-assets.com/authors/1211861766p5/2697.jpg, Portland* Maine* The United States,," Henry Wadsworth Longfellow was an American poet whose works include ""Paul Revere's Ride""* The Song of Hiawatha* and ""Evangeline"". He was also the first American to translate Dante Alighieri's The Divine Comedy and was one of the five members of the group known as the Fireside Poets.Longfellow was born in Portland* Maine* and studied at Bowdoin College. After spending time in Europe he became a professor at Bowdoin and* later* at Harvard College. His first major poetry collections were Voices of the Night (1839) and Ballads and Other Poems (1842). Longfellow retired from teaching in 1854 to focus on his writing* though he lived the remainder of his life in Cambridge* Massachusetts* in a former headquarters of George Washington.Longfellow pre"
123, Marlene Dietrich, https://www.goodreads.com/author/show/459689.Marlene_Dietrich, https://images.gr-assets.com/authors/1215577909p5/459689.jpg, Berlin* Germany,, Marlene Dietrich (1901-1992) was a German-born actress and singer.Dietrich remained popular throughout her long career by continually re-inventing herself. In 1920s Berlin* she acted on the stage and in silent films. Her performance as Lola-Lola in The Blue Angel* directed by Josef von Sternberg* brought her international fame and a contract with Paramount Pictures in the US. Hollywood films such as Shanghai Express and Desire capitalised on her glamour and exotic looks* cementing her stardom and making her one of the highest paid actresses of the era. Dietrich became a US citizen in 1937- during World War II* she was a high-profile frontline entertainer. Although she still made occasional films in the post-war years* Dietrich spent most of
